"Series";"Time";"Value"
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T02:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T03:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T03:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T03:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T03:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T03:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T03:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T04:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T04:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T04:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T04:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T04:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T04:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T05:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T05:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T05:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T05:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T05:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T05:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T06:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T06:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T06:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T06:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T06:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T06:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T07:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T07:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T07:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T07:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T07:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T07:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T08:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T08:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-29T08:20:00+01:00";null
