date,value
1912-12-31T23:40:28Z,-0.41
1913-01-31T23:40:28Z,-0.44
1913-02-28T23:40:28Z,-0.44
1913-03-31T23:40:28Z,-0.36
1913-04-30T23:40:28Z,-0.45
1913-05-31T23:40:28Z,-0.46
1913-06-30T23:40:28Z,-0.34
1913-07-31T23:40:28Z,-0.32
1913-08-31T23:40:28Z,-0.32
1913-09-30T23:40:28Z,-0.34
1913-10-31T23:40:28Z,-0.18
1913-11-30T23:40:28Z,-0.04
1913-12-31T23:40:28Z,0.02
1914-01-31T23:40:28Z,-0.13
1914-02-28T23:40:28Z,-0.23
1914-03-31T23:40:28Z,-0.28
1914-04-30T23:40:28Z,-0.19
1914-05-31T23:40:28Z,-0.22
1914-06-30T23:40:28Z,-0.24
1914-07-31T23:40:28Z,-0.15
1914-08-31T23:40:28Z,-0.13
1914-09-30T23:40:28Z,-0.05
1914-10-31T23:40:28Z,-0.2
1914-11-30T23:40:28Z,-0.1
1914-12-31T23:40:28Z,-0.2
1915-01-31T23:40:28Z,-0.01
1915-02-28T23:40:28Z,-0.08
1915-03-31T23:40:28Z,0.07
1915-04-30T23:40:28Z,-0.01
1915-05-31T23:40:28Z,-0.16
1915-06-30T23:40:28Z,-0.03
1915-07-31T23:40:28Z,-0.15
1915-08-31T23:40:28Z,-0.12
1915-09-30T23:40:28Z,-0.22
1915-10-31T23:40:28Z,-0.12
1915-11-30T23:40:28Z,-0.25
1915-12-31T23:40:28Z,-0.2
1916-01-31T23:40:28Z,-0.23
1916-02-29T23:40:28Z,-0.31
1916-03-31T23:40:28Z,-0.25
1916-04-30T23:40:28Z,-0.27
1916-05-31T22:40:28Z,-0.44
1916-06-30T22:40:28Z,-0.34
1916-07-31T22:40:28Z,-0.27
1916-08-31T22:40:28Z,-0.29
1916-09-30T23:40:28Z,-0.28
1916-10-31T23:40:28Z,-0.42
1916-11-30T23:40:28Z,-0.78
1916-12-31T23:40:28Z,-0.46
1917-01-31T23:40:28Z,-0.53
1917-02-28T23:40:28Z,-0.47
1917-03-31T23:40:28Z,-0.38
1917-04-30T22:40:28Z,-0.48
1917-05-31T22:40:28Z,-0.4
1917-06-30T22:40:28Z,-0.23
1917-07-31T22:40:28Z,-0.26
1917-08-31T22:40:28Z,-0.18
1917-09-30T23:40:28Z,-0.35
1917-10-31T23:40:28Z,-0.29
1917-11-30T23:40:28Z,-0.71
1917-12-31T23:40:28Z,-0.44
1918-01-31T23:40:28Z,-0.33
1918-02-28T23:40:28Z,-0.21
1918-03-31T23:40:28Z,-0.4
1918-04-30T22:40:28Z,-0.37
1918-05-31T22:40:28Z,-0.28
1918-06-30T22:40:28Z,-0.22
1918-07-31T22:40:28Z,-0.26
1918-08-31T22:40:28Z,-0.14
1918-09-30T23:40:28Z,-0.03
1918-10-31T23:40:28Z,-0.16
1918-11-30T23:40:28Z,-0.3
1918-12-31T23:40:28Z,-0.21
1919-01-31T23:40:28Z,-0.19
1919-02-28T23:40:28Z,-0.25
1919-03-31T23:40:28Z,-0.17
1919-04-30T22:40:28Z,-0.2
1919-05-31T22:40:28Z,-0.28
1919-06-30T22:40:28Z,-0.21
1919-07-31T22:40:28Z,-0.19
1919-08-31T22:40:28Z,-0.17
1919-09-30T23:40:28Z,-0.16
1919-10-31T23:40:28Z,-0.29
1919-11-30T23:40:28Z,-0.35
1919-12-31T23:40:28Z,-0.15
1920-01-31T23:40:28Z,-0.22
1920-02-29T23:40:28Z,-0.08
1920-03-31T23:40:28Z,-0.26
1920-04-30T22:40:28Z,-0.26
1920-05-31T22:40:28Z,-0.33
1920-06-30T22:40:28Z,-0.32
1920-07-31T22:40:28Z,-0.29
1920-08-31T22:40:28Z,-0.2
1920-09-30T23:40:28Z,-0.29
1920-10-31T23:40:28Z,-0.33
1920-11-30T23:40:28Z,-0.47
1920-12-31T23:40:28Z,-0.04
1921-01-31T23:40:28Z,-0.21
1921-02-28T23:40:28Z,-0.28
1921-03-31T23:40:28Z,-0.36
1921-04-30T22:40:28Z,-0.36
1921-05-31T22:40:28Z,-0.31
1921-06-30T22:40:28Z,-0.16
1921-07-31T22:40:28Z,-0.24
1921-08-31T22:40:28Z,-0.16
1921-09-30T23:40:28Z,-0.06
1921-10-31T23:40:28Z,-0.16
1921-11-30T23:40:28Z,-0.18
1921-12-31T23:40:28Z,-0.34
1922-01-31T23:40:28Z,-0.44
1922-02-28T23:40:28Z,-0.13
1922-03-31T22:40:28Z,-0.22
1922-04-30T22:40:28Z,-0.34
1922-05-31T22:40:28Z,-0.32
1922-06-30T22:40:28Z,-0.27
1922-07-31T22:40:28Z,-0.31
1922-08-31T22:40:28Z,-0.29
1922-09-30T22:40:28Z,-0.33
1922-10-31T23:40:28Z,-0.17
1922-11-30T23:40:28Z,-0.17
1922-12-31T23:40:28Z,-0.27
1923-01-31T23:40:28Z,-0.37
1923-02-28T23:40:28Z,-0.32
1923-03-31T23:40:28Z,-0.38
1923-04-30T23:40:28Z,-0.33
1923-05-31T23:40:28Z,-0.24
1923-06-30T22:40:28Z,-0.29
1923-07-31T22:40:28Z,-0.3
1923-08-31T22:40:28Z,-0.28
1923-09-30T22:40:28Z,-0.13
1923-10-31T23:40:28Z,0.03
1923-11-30T23:40:28Z,-0.06
1923-12-31T23:40:28Z,-0.24
1924-01-31T23:40:28Z,-0.27
1924-02-29T23:40:28Z,-0.12
1924-03-31T22:40:28Z,-0.35
1924-04-30T22:40:28Z,-0.19
1924-05-31T22:40:28Z,-0.28
1924-06-30T22:40:28Z,-0.27
1924-07-31T22:40:28Z,-0.35
1924-08-31T22:40:28Z,-0.3
1924-09-30T22:40:28Z,-0.36
1924-10-31T23:40:28Z,-0.23
1924-11-30T23:40:28Z,-0.43
1924-12-31T23:40:28Z,-0.34
1925-01-31T23:40:28Z,-0.35
1925-02-28T23:40:28Z,-0.24
1925-03-31T23:40:28Z,-0.25
1925-04-30T23:40:28Z,-0.3
1925-05-31T23:40:28Z,-0.34
1925-06-30T22:40:28Z,-0.3
1925-07-31T22:40:28Z,-0.19
1925-08-31T22:40:28Z,-0.13
1925-09-30T22:40:28Z,-0.17
1925-10-31T23:40:28Z,0.03
1925-11-30T23:40:28Z,0.11
1925-12-31T23:40:28Z,0.2
1926-01-31T23:40:28Z,0.07
1926-02-28T23:40:28Z,0.12
1926-03-31T23:40:28Z,-0.15
1926-04-30T23:40:28Z,-0.25
1926-05-31T22:40:28Z,-0.25
1926-06-30T22:40:28Z,-0.21
1926-07-31T22:40:28Z,-0.11
1926-08-31T22:40:28Z,-0.11
1926-09-30T22:40:28Z,-0.11
1926-10-31T23:40:28Z,-0.06
1926-11-30T23:40:28Z,-0.3
1926-12-31T23:40:28Z,-0.28
1927-01-31T23:40:28Z,-0.21
1927-02-28T23:40:28Z,-0.39
1927-03-31T23:40:28Z,-0.31
1927-04-30T23:40:28Z,-0.25
1927-05-31T22:40:28Z,-0.27
1927-06-30T22:40:28Z,-0.15
1927-07-31T22:40:28Z,-0.19
1927-08-31T22:40:28Z,-0.06
1927-09-30T22:40:28Z,-0.01
1927-10-31T23:40:28Z,-0.04
1927-11-30T23:40:28Z,-0.36
1927-12-31T23:40:28Z,-0.04
1928-01-31T23:40:28Z,-0.12
1928-02-29T23:40:28Z,-0.28
1928-03-31T23:40:28Z,-0.29
1928-04-30T23:40:28Z,-0.3
1928-05-31T22:40:28Z,-0.41
1928-06-30T22:40:28Z,-0.21
1928-07-31T22:40:28Z,-0.25
1928-08-31T22:40:28Z,-0.2
1928-09-30T22:40:28Z,-0.19
1928-10-31T23:40:28Z,-0.09
1928-11-30T23:40:28Z,-0.2
1928-12-31T23:40:28Z,-0.47
1929-01-31T23:40:28Z,-0.61
1929-02-28T23:40:28Z,-0.34
1929-03-31T23:40:28Z,-0.4
1929-04-30T23:40:28Z,-0.39
1929-05-31T22:40:28Z,-0.43
1929-06-30T22:40:28Z,-0.33
1929-07-31T22:40:28Z,-0.29
1929-08-31T22:40:28Z,-0.23
1929-09-30T22:40:28Z,-0.15
1929-10-31T23:40:28Z,-0.14
1929-11-30T23:40:28Z,-0.55
1929-12-31T23:40:28Z,-0.29
1930-01-31T23:40:28Z,-0.24
1930-02-28T23:40:28Z,-0.08
1930-03-31T23:40:28Z,-0.26
1930-04-30T23:40:28Z,-0.25
1930-05-31T22:40:28Z,-0.19
1930-06-30T22:40:28Z,-0.17
1930-07-31T22:40:28Z,-0.11
1930-08-31T22:40:28Z,-0.11
1930-09-30T22:40:28Z,-0.08
1930-10-31T23:40:28Z,0.14
1930-11-30T23:40:28Z,-0.09
1930-12-31T23:40:28Z,-0.1
1931-01-31T23:40:28Z,-0.22
1931-02-28T23:40:28Z,-0.06
1931-03-31T23:40:28Z,-0.21
1931-04-30T23:40:28Z,-0.22
1931-05-31T22:40:28Z,-0.06
1931-06-30T22:40:28Z,0.01
1931-07-31T22:40:28Z,0
1931-08-31T22:40:28Z,-0.06
1931-09-30T22:40:28Z,0
1931-10-31T23:40:28Z,-0.12
1931-11-30T23:40:28Z,-0.1
1931-12-31T23:40:28Z,0.13
1932-01-31T23:40:28Z,-0.18
1932-02-29T23:40:28Z,-0.2
1932-03-31T23:40:28Z,-0.07
1932-04-30T23:40:28Z,-0.22
1932-05-31T22:40:28Z,-0.3
1932-06-30T22:40:28Z,-0.24
1932-07-31T22:40:28Z,-0.24
1932-08-31T22:40:28Z,-0.11
1932-09-30T22:40:28Z,-0.1
1932-10-31T23:40:28Z,-0.26
1932-11-30T23:40:28Z,-0.22
1932-12-31T23:40:28Z,-0.34
1933-01-31T23:40:28Z,-0.32
1933-02-28T23:40:28Z,-0.29
1933-03-31T23:40:28Z,-0.23
1933-04-30T23:40:28Z,-0.25
1933-05-31T22:40:28Z,-0.32
1933-06-30T22:40:28Z,-0.2
1933-07-31T22:40:28Z,-0.23
1933-08-31T22:40:28Z,-0.26
1933-09-30T22:40:28Z,-0.24
1933-10-31T23:40:28Z,-0.31
1933-11-30T23:40:28Z,-0.47
1933-12-31T23:40:28Z,-0.27
1934-01-31T23:40:28Z,-0.04
1934-02-28T23:40:28Z,-0.31
1934-03-31T23:40:28Z,-0.27
1934-04-30T23:40:28Z,-0.11
1934-05-31T22:40:28Z,-0.14
1934-06-30T22:40:28Z,-0.11
1934-07-31T22:40:28Z,-0.1
1934-08-31T22:40:28Z,-0.16
1934-09-30T22:40:28Z,-0.11
1934-10-31T23:40:28Z,-0.01
1934-11-30T23:40:28Z,-0.09
1934-12-31T23:40:28Z,-0.37
1935-01-31T23:40:28Z,0.11
1935-02-28T23:40:28Z,-0.13
1935-03-31T23:40:28Z,-0.35
1935-04-30T23:40:28Z,-0.26
1935-05-31T22:40:28Z,-0.23
1935-06-30T22:40:28Z,-0.19
1935-07-31T22:40:28Z,-0.17
1935-08-31T22:40:28Z,-0.17
1935-09-30T22:40:28Z,-0.08
1935-10-31T23:40:28Z,-0.29
1935-11-30T23:40:28Z,-0.22
1935-12-31T23:40:28Z,-0.29
1936-01-31T23:40:28Z,-0.39
1936-02-29T23:40:28Z,-0.23
1936-03-31T23:40:28Z,-0.2
1936-04-30T23:40:28Z,-0.17
1936-05-31T22:40:28Z,-0.19
1936-06-30T22:40:28Z,-0.06
1936-07-31T22:40:28Z,-0.12
1936-08-31T22:40:28Z,-0.06
1936-09-30T22:40:28Z,-0.04
1936-10-31T23:40:28Z,-0.05
1936-11-30T23:40:28Z,-0.04
1936-12-31T23:40:28Z,-0.11
1937-01-31T23:40:28Z,0.05
1937-02-28T23:40:28Z,-0.17
1937-03-31T23:40:28Z,-0.17
1937-04-30T23:40:28Z,-0.07
1937-05-31T22:40:28Z,-0.08
1937-06-30T22:40:28Z,-0.05
1937-07-31T22:40Z,0.03
1937-08-31T22:40Z,0.14
1937-09-30T22:40Z,0.1
1937-10-31T23:40Z,0.09
1937-11-30T23:40Z,-0.12
1937-12-31T23:40Z,0
1938-01-31T23:40Z,-0.04
1938-02-28T23:40Z,0.05
1938-03-31T23:40Z,0.05
1938-04-30T23:40Z,-0.07
1938-05-31T22:40Z,-0.17
